Comment,Emotion,Comment Length,Word Count,Processed Comment
i feel much better and without the help of ice,joy,46,10,much better without help ice
i am sitting here typing this and wondering where i belong feeling distracted feeling comfortable feeling misunderstood and hurt,anger,128,19,sitting typing wondering belong distracted comfortable misunderstood hurt
i still feel its a little shaky at times and can move into the slightly odd jades hair in particular seems prone to this but generally it works well with spencers writing,fear,170,32,still shaky time move slightly odd jade hair particular seems prone generally work well spencer writing
i stropped about for a bit feeling grumpy because i was missing out,anger,67,13,stropped bit grumpy missing
i have a feeling i shall go mad,anger,31,8,shall go mad
i am happpy when i get good results in the field of academics or athletics,joy,74,15,happpy good result field academic athletics
i got the feeling brig is sincere and has a very strong desire to help others become successful both financially and also through building strengthening relationships through christianity,joy,187,28,got brig sincere strong desire help others become successful financially also building strengthening relationship christianity
im feeling deeply overwhelmed by these ordinary tasks,fear,53,8,deeply overwhelmed ordinary task
i feel so grouchy and irritable when im sick,anger,44,9,grouchy irritable sick
i feel my heart shaky all the time now,fear,38,9,heart shaky
i expect and i feel content with that,joy,37,8,expect content
i feel amused at the absurdity of it all,joy,40,9,amused absurdity
i end up getting unwanted attention from boys i want little to do with or ill be sort of starting something with a boy then find myself flirtiing with others in his presence or ill feel really insincere around boys that i do like,anger,229,44,end getting unwanted attention boy ill sort starting something boy find flirtiing others presence ill insincere around boy
i just couldnt help feeling a little bit bitter towards his great big happy grin,anger,80,15,couldnt help bit bitter towards great big happy grin
i go back to my point about what an easy sell getting folk to feel really virtuous for not doing what they dont want to do anyway,joy,129,27,go back point easy sell getting folk virtuous dont anyway
im feeling a bit more sociable now although i dont think ill be able to express everything i want to say,joy,104,21,bit sociable although dont think ill able express everything say
i would feel joyful,joy,19,4,would joyful
at a certain situation i felt myself neglected and undeservedly harmed,anger,70,11,certain situation felt neglected undeservedly harmed
i felt good and feel fine today too,joy,35,8,felt good fine today
i looked at what had happened to us in two generations and looked at what hadn t happened to them in two or three and instead of feeling outraged by their history of aggression i felt privileged by it,anger,200,39,looked happened u two generation looked happened two three instead outraged history aggression felt privileged
im feeling slightly optimistic,joy,30,4,slightly optimistic
i feel and some is just a hateful of hollow yes i hear many smiths these days,anger,77,17,hateful hollow yes hear many smith day
im still feeling indecisive im polling yall p,fear,45,8,still indecisive polling yall p
sometime back another girl who was in terms with my exboyfriend came to shout at me at twelve midnight it was because she thought i was still interested in the boy,anger,163,31,sometime back another girl term exboyfriend came shout twelve midnight thought still interested boy
id start feeling resentful that i lived in a part of the country where the sun stubbornly refuses to show itself after the end of september,anger,139,26,start resentful lived part country sun stubbornly refuse show end september
i just feel so fucked up these days,anger,35,8,fucked day
i confess that i was feeling nervous as i made my way to the event venue,fear,72,16,confess nervous made way event venue
i was really worried that i would feel intimidated by monica but when we met that morning she was incredibly welcoming and made me feel relaxed straight away,fear,157,28,worried would intimidated monica met morning incredibly welcoming made relaxed straight away
i was sick with a cold amp not feeling well wondering if i would even be able to have the patience to go to whitleys month photo shoot,joy,134,28,sick cold amp well wondering would even able patience go whitleys month photo shoot
i feel like i have been a bit obnoxious in my picture posting,anger,61,13,bit obnoxious picture posting
i feel morally outraged and furious more often than i d like,anger,60,12,morally outraged furious often
i feel pissed my friend didnt offer me a soda,anger,45,10,pissed friend didnt offer soda
i feel our hearts are treading dangerous territory,anger,50,8,heart treading dangerous territory
i feel frightened by it all,fear,27,6,frightened
i know it was not pleasant for her and i feel selfish saying it but i think i would have fallen apart if i had been there,anger,121,27,pleasant selfish saying think would fallen apart
i feel shafted or greedy,anger,24,5,shafted greedy
i have just had such a crappy week that i am still feeling all agitated and like the day wasn t what i wanted,fear,109,24,crappy week still agitated day wanted
i feel rebellious because i don t particularly like watching romcoms but i get the feeling that i may be pretty good at writing them,anger,132,25,rebellious particularly watching romcoms may pretty good writing
i feel reluctant to just leave her alone like that without helping her enough to repay her goodness to me,fear,105,20,reluctant leave alone without helping enough repay goodness
i am ashamed when i feel like that the moment i see terrified crying children and dead ones,fear,91,18,ashamed moment see terrified cry child dead one
i wake up in the morning and have my voice and my throat feels ok but by the afternoon its all scratchy again and i sound like marge simpson until the night when its so bad and my throat is so sore i just have to whisper,joy,220,47,wake morning voice throat feel ok afternoon scratchy sound marge simpson night bad throat sore whisper
ive always been very nervous to do something like that as i feel like i am not really that talented to enter something into an official contest,joy,143,27,always nervous something talented enter something official contest
i feel a bit pissed off because we went first,anger,45,10,bit pissed went first
i feel satisfied knowing the dirt and hair is no longer in the car and house,joy,76,16,satisfied knowing dirt hair longer car house
i really like how the special edition really does feel special with songs on it,joy,79,15,special edition special song
i would accept your gift without feeling mad,anger,44,8,would accept gift without mad
i feel hesitant to do it since i don t have any experience with programming and all,fear,83,17,hesitant since experience programming
i was feeling particularly bitchy and i dont think i adequately expressed my appreciation for that,anger,98,16,particularly bitchy dont think adequately expressed appreciation
i do feel confused,fear,18,4,confused
im with you when your professor looks at you like a spitball when your friend is dying when you cry into your pillow at night when you feel the dangerous tickles of jealousy luring you down into its lair,anger,203,39,professor look spitball friend dying cry pillow night dangerous tickle jealousy luring lair
i didn t feel rushed to finish millions of things and i was able to focus on each task separately,anger,97,20,rushed finish million thing able focus task separately
i feel so tortured,anger,18,4,tortured
i dunno how it feels to be completely happy the real world has taught me about struggle but what i m going thru is nothing close to struggle,joy,140,28,dunno feel completely happy real world taught struggle going thru nothing close struggle
i feel like she has taken on the role of a grandmother to me since my beloved grandma is no longer with me,joy,106,23,taken role grandmother since beloved grandma longer
i fear that other people ask me about my feelings i am most reluctant to talk about things,fear,90,18,fear ask feeling reluctant talk thing
i would have smiled except i was starting to feel like any more uptight comments and my jaw would fall right out of my head,fear,123,25,would smiled except starting uptight comment jaw would fall right head
i feel so comfortable around him,joy,32,6,comfortable around
i feel completely unsure of any boundaries or normalcy,fear,54,9,completely unsure boundary normalcy
i think of or feel gratitude i think of my kind and gracious heavenly father,joy,76,15,think gratitude think kind gracious heavenly father
im feeling really really left out and somewhat dissatisfied with everything,anger,75,11,left somewhat dissatisfied everything
i simply said how sorry i am and just got out from her car and got into my house feeling restless,fear,97,21,simply said sorry got car got house restless
i am feeling weird and feel wanna know,fear,38,8,weird wan na
i had an incredible feeling of frantic despair,fear,46,8,incredible frantic despair
i feel reluctant to sell but hey,fear,32,7,reluctant sell hey
i take a long sip and feel the cold sensation of the iced capp,anger,62,14,take long sip cold sensation iced capp
i wasn t feeling pressured even if this was the longest race and the one i expected the most from,fear,97,20,pressured even longest race one expected
i also hope you understand why i feel so angry with you when you dont support the hat rule or when you turn up at a school event sans hat yourself,anger,146,31,also hope understand angry dont support hat rule turn school event sans hat
i remember feeling the most terrified i had ever felt in my entire life and that its still affecting me now but ive never thought it accounted to trauma,fear,152,29,remember terrified ever felt entire life still affecting never thought accounted trauma
i had for me to confess my feelings for her but still i couldnt bring myself to her for i was scared of losing her once more,fear,124,27,confess feeling still couldnt bring scared losing
im clearly influenced by the dash happiness of emily dickinson for example and i use dashes instead of colons or semi colons to enhance the feelings of rushed enjambment in the sonnet,anger,183,32,clearly influenced dash happiness emily dickinson example use dash instead colon semi colon enhance feeling rushed enjambment sonnet
i pray that the eyes that read this the minds that comprehend this and the hearts that feel this will not be offended,anger,117,23,pray eye read mind comprehend heart offended
im not afraid of going on my own but i feel like a lot of people were in groups and a part of me feels like it would be cool to have a small group to hang out with,joy,163,39,afraid going lot group part feel would cool small group hang
the possibility of having failed the examination,fear,48,7,possibility failed examination
i feel so thankful to be in a part of the country where i can train outdoors this late in the year and not have to bundle up or wear several layers,joy,147,32,thankful part country train outdoors late year bundle wear several layer
i am feeling rather grouchy too this morning since i didnt sleep last night on purpose,anger,86,16,rather grouchy morning since didnt sleep last night purpose
i feel like the earthquake has also shaken the foundations of my life and work,fear,78,15,earthquake also shaken foundation life work
i might be able to recreate the feeling when i get back into the cold fog that awaits me tomorrow night,anger,103,21,might able recreate back cold fog awaits tomorrow night
i woke up feeling positive i was totally in the mood for doing this and this evening i feel the same i had a banana shake for breakfast a chocolate shake for dinner and a sunday roast for tea,joy,191,39,woke positive totally mood evening banana shake breakfast chocolate shake dinner sunday roast tea
i would just go to the straight point rather than doing a defination of such as what is romance feeling or anger feeling or suspicious feelings,fear,143,26,would go straight point rather defination romance anger suspicious feeling
i feel so bitchy and mean and terrible,anger,38,8,bitchy mean terrible
i feel envious that they can keep their posts regular and interesting and wish that i could feel this way to,anger,108,21,envious keep post regular interesting wish could way
i feel like him try to stay as faithful as possible to what he perceives as the real events that happened in that mountain,joy,122,24,try stay faithful possible perceives real event happened mountain
i feel assaulted the new kid whined,fear,35,7,assaulted new kid whined
ive had a long road of that initially feeling like i was being rude for turning down food that was made brought for me and sometimes eating stuff because it was gluten free and looked delicious even if it maybe wasnt what i felt good about eating some really mediocre wedding cake for example,anger,292,54,long road initially rude turning food made brought sometimes eating stuff gluten free looked delicious even maybe wasnt felt good eating mediocre wedding cake example
i wanted to make sure i didnt feel rushed getting to century college on friday afternoon,anger,88,16,wanted sure didnt rushed getting century college friday afternoon
id kick myself into gear but i just feel irritable with no motivation what so ever,anger,82,16,kick gear irritable motivation ever
i feel so much more productive at college and so to keep that productivity in full gear ill have to chalk up some ideas for art projects this summer train an army of attack pigeons and take over a tiny and uninhabited island,joy,224,43,much productive college keep productivity full gear ill chalk idea art project summer train army attack pigeon take tiny uninhabited island
i have a feeling that your father already convinced him of that,joy,63,12,father already convinced
i feel im not bothered by that,anger,30,7,bothered
i p i could sit here and beat myself up over it all but im feeling far to rebellious for that today basically im feeling angry at the world and at myself all at the same time,anger,174,37,p could sit beat far rebellious today basically angry world
im totally feeling bitchy and resentful about it,anger,48,8,totally bitchy resentful
i drove to class i was feeling a little apprehensive but still no sweat,fear,71,14,drove class apprehensive still sweat
i feel so wronged but what can i do,anger,35,9,wronged
i feel so weird that it feels like i wanna curse everything and bang my head onto the wall so that my world will be back to its focus,fear,133,29,weird feel wan na curse everything bang head onto wall world back focus
i feel suspicious of wrinkle prevention beauty products for some reason,fear,71,11,suspicious wrinkle prevention beauty product reason
i feel you see frantic and thus i am afraid,fear,43,10,see frantic thus afraid
i am feeling so grumpy today,anger,28,6,grumpy today
i feel that i have gotten to know the students pretty well and i talk to the parents if they drop their students off for the day,joy,128,27,gotten student pretty well talk parent drop student day
i cant help but feel suspicious of everything,fear,45,8,cant help suspicious everything
i say we because it makes all the difference as a parent when you have an open and easy to talk to teacher who you really feel is the perfect fit for your child,joy,160,34,say make difference parent open easy talk teacher perfect fit child
i feel a little bit frightened of islam,fear,39,8,bit frightened islam
im with her i feel terrific,joy,27,6,terrific
i feel like this insecurity is a good thing when i first started writing i pictured it all,joy,90,18,insecurity good first started writing pictured
i even had a deep feeling for alaska and the cold and snowy and yet big open land with the pine trees and mountains but im destined to live in southern california,anger,162,32,even deep alaska cold snowy yet big open land pine tree mountain destined live southern california
i didn t feel like she was shy so much as taking it all in as her mother has described her,fear,90,21,shy much taking mother described
i feel like any time anyone gets into the ring with him they are so intimidated by his arms and legs they dont even really try,fear,126,26,anyone get ring intimidated arm leg dont even try
im feeling cranky cantankerous and resentful like a house slave basically almost all the mothers i know rely heavily on either alcohol marijuana or separation divorce to get some space and sanity for themselves away from their maternal responsibilities,anger,252,39,cranky cantankerous resentful house slave basically almost mother rely heavily either alcohol marijuana separation divorce space sanity away maternal responsibility
i was going crazy thank god i have a craving for fruits and chocolate it made me go out in the cold with a gross wind blowing in my neck feeling mad and angry and crappy,anger,169,36,going crazy thank god craving fruit chocolate made go cold gross wind blowing neck mad angry crappy
im not convinced that it all makes since because the talking never feels sincere in its execution and maybe the themes in life seem to large to ever fathom but what s the point when it already feels like an emotionless pit of self craving attention,joy,248,46,convinced make since talking never feel sincere execution maybe theme life seem large ever fathom point already feel emotionless pit self craving attention
i had begun to feel apprehensive when thick black rain clouds stormed into the sky above town,fear,93,17,begun apprehensive thick black rain cloud stormed sky town
i think that they pop up so automatically because seeing those pictures or people makes me feel insecure about myself,fear,117,20,think pop automatically seeing picture make insecure
i shut the door but i didn t feel triumphant,joy,44,10,shut door triumphant
i could even feel his cold breath on my neck whispered hertha as she ran her fingers across the side of neck,anger,108,22,could even cold breath neck whispered hertha ran finger across side neck
i feel like life gave me a plenty of changes to shine and i pissed all over each and every one of them,anger,102,23,life gave plenty change shine pissed every one
i was feeling grumpy not women problems grumpy but five year old i want to get my way kind of grumpy you don t think there s a difference,anger,137,29,grumpy woman problem grumpy five year old way kind grumpy think difference
i feel like im back in my element and very pleased to be surrounded by adorable tiny garments,joy,93,18,back element pleased surrounded adorable tiny garment
i know you feel tortured reading this,anger,37,7,tortured reading
i have a feeling hell be a casual favorite if blue or red are heavy colors at your casual tables otherwise i could see it in tournament decks while red is popular and possibly when if blue steps in its place one zendikar block rotates out,joy,238,46,hell casual favorite blue red heavy color casual table otherwise could see tournament deck red popular possibly blue step place one zendikar block rotates
i think this is a valid complaint for those who arent willing to deal with it this aspect i imagine will be rather subjective but it makes sure that the cover based moments still feel dangerous despite being in cover,anger,216,40,think valid complaint arent willing deal aspect imagine rather subjective make sure cover based moment still dangerous despite cover
i feel like it must be a popular choice to have alterations done elsewhere,joy,74,14,must popular choice alteration done elsewhere
i feel bothered,anger,15,3,bothered
i have noticed that if i go with out i start to feel irritated at him or easily annoyed by the things he does i feel this tiny ache inside of me almost unnoticeable the first few days as if a tiny hair had burrowed its way into my foot,anger,235,50,noticed go start irritated easily annoyed thing tiny ache inside almost unnoticeable first day tiny hair burrowed way foot
i said without emotion while feeling a freaked out fearful anxiety welling up in my chest,fear,89,16,said without emotion freaked fearful anxiety welling chest
i understand that any of my extremely positive attributes and there are some are overshadowed by my weakness and subconsciously some people are wired up to feel superior to others and thereby treat them differently,joy,214,35,understand extremely positive attribute overshadowed weakness subconsciously wired superior others thereby treat differently
i find it very hard to feel relaxed for more than hours,joy,55,12,find hard relaxed hour
i am just feeling grumpy and sore,anger,33,7,grumpy sore
i just make assumptions based on what i see think feel i ve wondered this before with strange things,fear,100,19,assumption based see think wondered strange thing
i feel your motivation will be satisfied when you read this write up also who understands,joy,89,16,motivation satisfied read write also understands
i walk in the door to my house i feel happy,joy,43,11,walk door house happy
i feel more terrified than the customers will be in my maze,fear,59,12,terrified customer maze
i found these emails from scott dale and just reading them frusterated me so much that i feel the need to post them and show the world what a neurotic freak he was is,fear,166,34,found email scott dale reading frusterated much need post show world neurotic freak
i have been neglecting the feeling of people around me i was stubborn,anger,69,13,neglecting around stubborn
i have been sneakily listen to x mas music since the beginning of october but now i feel as if it is a little more socially acceptable to prance around while eartha kitt s version of santa baby blares from my ipod,joy,213,42,sneakily listen x ma music since beginning october socially acceptable prance around eartha kitt version santa baby blare ipod
i didn t feel as terrified or as nervous as i normally would in that type of situation,fear,86,18,terrified nervous normally would type situation
i typically respond when i feel offended,anger,40,7,typically respond offended
i am wearing and feeling confident about myself,joy,47,8,wearing confident
i feel like i am as fearful now as i was when i first threw my leg over the top tube after my surgery,fear,101,24,fearful first threw leg top tube surgery
i feel unprotected if i do though,fear,33,7,unprotected though
im feeling artistic today,joy,25,4,artistic today
i confess to feeling a bit nervous now though there are some very talented people in the group,fear,94,18,confess bit nervous though talented group
i managed to eat more than i usually can on race morning mostly because jon was there and i didnt feel quite as nervous,fear,119,24,managed eat usually race morning mostly jon didnt quite nervous
i had never read the posts i never would have spent the emotional and mental energy to argue with them in my head or feel irritated by them,anger,139,28,never read post never would spent emotional mental energy argue head irritated
i feel pressured at times to succumb to fear and insecurities but thankfully i am still able to hold it on my own,fear,113,23,pressured time succumb fear insecurity thankfully still able hold
i feel my strengths are that i m very determined motivated in the workout room,joy,78,15,strength determined motivated workout room
im feeling doubtful about my writing dreams to know shes behind me,fear,66,12,doubtful writing dream shes behind
i feel so enraged that i want to punch him but i don t because he s only years old,anger,82,20,enraged punch year old
i get into what it actually does i feel like everyone should buy it just because it smells amazing,joy,98,19,actually everyone buy smell amazing
i think the sooner we do the better well all feel greg im already in a distressed mood mom,fear,90,19,think sooner better well greg already distressed mood mom
im so excited but feeling kind of shy about it smile,fear,52,11,excited kind shy smile
i wear it i feel anxious visable spotlighted different unfashionable stupid embarrassed ashamed and paranoid,fear,108,15,wear anxious visable spotlighted different unfashionable stupid embarrassed ashamed paranoid
i feel like im back to the arms of a beloved last seen a long time ago,joy,70,17,back arm beloved last seen long ago
i feel satisfied and happy with my choices today,joy,48,9,satisfied happy choice today
i walked away feeling inspired and excited about realistic things i could do to increase my blog s chances for being found,joy,122,22,walked away inspired excited realistic thing could increase blog chance found
i feeling confused with my life and want to know why my life,fear,60,13,confused life life
i looked around and once again was disappointed that so little had shown up this evening but apparently this was my day to feel selfish,anger,135,25,looked around disappointed shown evening apparently day selfish
i was feeling and i said impatient,anger,34,7,said impatient
i feel very reluctant to blog during my free period even when my hp is plugged to my laptop for charging making it easy to upload photos online,fear,143,28,reluctant blog free period even hp plugged laptop charging making easy upload photo online
i always notice even though she is fabulous at hiding it according to the rest of the world and feel it keenly and am greatly distressed,fear,136,26,always notice even though fabulous hiding according rest world keenly greatly distressed
i got a stitch in my side during the first mile couldnt feel my feet it was so cold etc etc,anger,91,21,got stitch side first mile couldnt foot cold etc etc
i feel uncomfortable when i need to sit through a bad presentations,fear,67,12,uncomfortable need sit bad presentation
i feel there are other options that not as violent probably more costly yet equally futile so whats the problem with keeping our men and women out of harms way,anger,159,30,option violent probably costly yet equally futile whats problem keeping men woman harm way
ive collected as i feel its vital to create something precious from those items as a tribute to the earth and its power generosity,joy,130,24,collected vital create something precious item tribute earth power generosity
i feel as though i fucked up so majorly this summer that im cast off into an alternate universe that i went the wrong way on a timeline and im stuck in a world that the same as the one i knew in all but one way,anger,210,47,though fucked majorly summer cast alternate universe went wrong way timeline stuck world one knew one way
i friends helping them to dress up and practise their thai introduction session while i sat there feeling helpless,fear,114,19,friend helping dress practise thai introduction session sat helpless
i feel helpless because i cannot stop it,fear,40,8,helpless stop
im feeling disgusted already but seriously though i dont really like to have my pictures taken cause ive always referred to myself as ugly,anger,138,24,disgusted already seriously though dont picture taken cause always referred ugly
i do feel very angered though,anger,29,6,angered though
i am feeling very virtuous today,joy,32,6,virtuous today
i just feel so good inside when i see people walking away with their own handmade pieces of,joy,91,18,good inside see walking away handmade piece
i went to see my pcm on post for a follow up appointment and i left feeling hopeful and optimistic,joy,98,20,went see pcm post follow appointment left hopeful optimistic
i wish that the girl he asked to prom had accepted his invitation that way i couldve been heartbroken and done with my feeling for him but now im just so indecisive,fear,164,32,wish girl asked prom accepted invitation way couldve heartbroken done indecisive
im still feeling all wimpy it may be another skip around,fear,56,11,still wimpy may another skip around
i didnt feel safe in my room because the argument was going on in my room and things were getting rough,joy,103,21,didnt safe room argument going room thing getting rough
im not feeling pissed off about picking up those toys,anger,53,10,pissed picking toy
im feeling so goddamn pissed and just,anger,37,7,goddamn pissed
i hopped on the scale this morning feeling none too optimistic,joy,62,11,hopped scale morning none optimistic
i appreciate the award i feel there are so many wonderful blogs out there that we are all winners,joy,97,19,appreciate award many wonderful blog winner
i want to not feel shy with them i want to have fun with them,fear,61,15,shy fun
i should have left this movie feeling frightened or at the very least convinced that this number held some kind of mystical power or was the key to some government conspiracy but no,fear,181,33,left movie frightened least convinced number held kind mystical power key government conspiracy
i always feel i always understand that the people who are being the most hateful and harmful towards me are hurting themselves and taught wrongly and i hurt for them because i want to go back and undo the pain and childhood bigotry that binds their lives into this path,anger,269,50,always always understand hateful harmful towards hurting taught wrongly hurt go back undo pain childhood bigotry bind life path
i am feeling extremely pleased with myself and i decide to give the guy another rupees,joy,86,16,extremely pleased decide give guy another rupee
i feel tortured every moment and theres nowhere i can go to get away from it or to get back to what i was used to,anger,113,26,tortured every moment there nowhere go away back used
im feeling brave this would be nice with black tips,joy,51,10,brave would nice black tip
i know who all think this way so i ve always feel skeptical about painting my nails red since i also have light skin so the red is really going to stand out is there a cute way for a year old to wear red nails without looking like she s trying too hard or looking like a hooker,fear,277,59,think way always skeptical painting nail red since also light skin red going stand cute way year old wear red nail without looking trying hard looking hooker
in ward a was an epileptic patient who was burnt the whole body and was stinking very much such that the whole ward was affected few people could come near him,anger,159,31,ward epileptic patient burnt whole body stinking much whole ward affected could come near
i have grown accustomed to the creative freedom of living by myself i can dance around my house and write songs and play guitar without feeling inhibited by the eyes and ears of others,fear,184,34,grown accustomed creative freedom living dance around house write song play guitar without inhibited eye ear others
i is an extremely positive feeling a divine energy who alone can take our quaking boat to the shore,joy,99,19,extremely positive divine energy alone take quaking boat shore
i feel in the long run this hurts paulie as you could visibly see how distraught he was with the result and the perception of his performance,fear,141,27,long run hurt paulie could visibly see distraught result perception performance
i also wouldnt mind a canon d mark iii if anyone is feeling generous,joy,68,14,also wouldnt mind canon mark iii anyone generous
i wonder how genentech feel about a hostile takeover by its global partner,anger,74,13,wonder genentech hostile takeover global partner
i feel that when i run i that is me sarah the mind am supporting this body,joy,74,17,run sarah mind supporting body
i feel truly impatient that this is taking so long,anger,50,10,truly impatient taking long
i feel really greedy wanting all this stuff but my mom asked me to make a list so,anger,81,18,greedy wanting stuff mom asked list
i feel popular but they dont want to be taught and they wont get married before the get baptized so they cant obviously,joy,119,23,popular dont taught wont married baptized cant obviously
i dont hate you i just honestly feel so bitter towards you atm,anger,62,13,dont hate honestly bitter towards atm
i don t particularly have too much to say on it as it works well but doesn t particularly feel like it s something very clever or new,joy,133,28,particularly much say work well particularly something clever new
i sometimes feel hated but i am not it is all in my head,anger,56,14,sometimes hated head
i was feeling pretty anxious and overwhelmed as a friend rightly noted probably because i was on a boat with my mom grandmother and great aunt and no where to flee except the damn cold baltic sea,fear,195,37,pretty anxious overwhelmed friend rightly noted probably boat mom grandmother great aunt flee except damn cold baltic sea
i feel like i need cute pictures to share,joy,41,9,need cute picture share
i wake up feeling triumphant,joy,28,5,wake triumphant
i find it hard to feel jolly when throngs of people around me are so lost in the fervor of getting stuff that they cant see their heart for the green in their wallet encouraged by the constant barrage and pressure from every angle to shop here and buy more,joy,256,50,find hard jolly throng around lost fervor getting stuff cant see heart green wallet encouraged constant barrage pressure every angle shop buy
i am left feeling very confused and blah,fear,40,8,left confused blah
i got a feeling by the look in her eyes that she was sincere,joy,60,14,got look eye sincere
i can think about is how lonely i feel im all grouchy and agitated and esily airritated,anger,87,17,think lonely grouchy agitated esily airritated
ive decided to intentionally make it easier on myself even though it makes me feel wimpy admitting that is the reason but this girl does have to work a day job,fear,159,31,decided intentionally easier even though make wimpy admitting reason girl work day job
im watching a movie called sharknado i feel like my intelligence is being insulted,anger,82,14,watching movie called sharknado intelligence insulted
i am feeling apprehensive about this move and worried i have blown all my money that was meant to pay my rego,fear,109,22,apprehensive move worried blown money meant pay rego
i still feel like i get walked all over but well i m trying,joy,59,14,still walked well trying
i told her that we cannot continue this way and when she is starting to feel frustrated she has to let me know in a calm way,anger,124,27,told continue way starting frustrated let calm way
i felt like the boys were disadvantaged missing out on all the exciting entertainments at home for children but now i feel like they have had a precious opportunity to get close and familiar with nature,joy,202,36,felt boy disadvantaged missing exciting entertainment home child precious opportunity close familiar nature
i was capable of doing the same as of late ive been feeling pretty bitter and depressed and not a lot of gratitude in general,anger,125,25,capable late pretty bitter depressed lot gratitude general
i can feel their joy and excitement for the opportunity to receive these vital ordinances,joy,89,15,joy excitement opportunity receive vital ordinance
i worry about all of the time ive been spending on the computer and about how i feel so distracted by the party,anger,111,23,worry spending computer distracted party
i feel like i cant be brave,joy,27,7,cant brave
i wish i could call off the wedding just so i can feel carefree again,joy,69,15,wish could call wedding carefree
i didnt feel scared at all,fear,26,6,didnt scared
i feel really contented just listening to the song,joy,50,9,contented listening song
i dont know who i like i feel so bitchy and flirty,anger,50,12,dont bitchy flirty
ive had this urgent feeling to write to you and tell you how the files make me feel but have felt hesitant because of fear as to where it will lead me,fear,150,32,urgent write tell file felt hesitant fear lead
i started to develop feelings for you they scared me and i freaked out but you promised me that i was safe,fear,106,22,started develop feeling scared freaked promised safe
i guess avoiding the boundaries conversation with him has me feeling a little unsure about my confidence and strength,fear,117,19,guess avoiding boundary conversation unsure confidence strength
im so damn tired and i feel a little grouchy,anger,44,10,damn tired grouchy
i was feeling quite something im not sure,joy,41,8,quite something sure
i feel rude feel free to grab the seat next to me,anger,49,12,rude free grab seat next
im contemplating and feeling skeptical,fear,38,5,contemplating skeptical
i feel irritated useless and hopeless,anger,37,6,irritated useless hopeless
i don t feel bothered about it getting credit equals getting debt and i have no interest in doing that again,anger,108,21,bothered getting credit equal getting debt interest
i hurt your feelings or angered you with my last rant im sorry,anger,62,13,hurt feeling angered last rant sorry
i was feeling angry at myself for feeling self conscious about my shorts or for wishing that i wasnt alone,anger,106,20,angry self conscious short wishing wasnt alone
i feel petty things but not to the extent that humans seem to feel them wars have been started over stupid little things and try as i might i cannot understand how things such as loving two people or feeling jealous can lead to murder and unhappiness,anger,250,47,petty thing extent human seem war started stupid thing try might understand thing loving two jealous lead murder unhappiness
i was feeling pretty cranky this morning and stopping in here really made me feel a lot better,anger,94,18,pretty cranky morning stopping made lot better
i was just yesterday feeling uncomfortable with highschool sigh,fear,63,9,yesterday uncomfortable highschool sigh
i feel better now on the menu tonight,joy,37,8,better menu tonight
i feel so hesitant to say anything positive trying to hold my breath so to speak because none of this really matters until i know that shaun has passed the dlpt,fear,160,31,hesitant say anything positive trying hold breath speak none matter shaun passed dlpt
i feel stressed out i would watch movies alone or just walk on the streets alone,anger,80,16,stressed would watch movie alone walk street alone
