Comment,Emotion,Comment Length,Word Count
i feel like the earthquake has also shaken the foundations of my life and work,fear,78,15
i might be able to recreate the feeling when i get back into the cold fog that awaits me tomorrow night,anger,103,21
i woke up feeling positive i was totally in the mood for doing this and this evening i feel the same i had a banana shake for breakfast a chocolate shake for dinner and a sunday roast for tea,joy,191,39
i would just go to the straight point rather than doing a defination of such as what is romance feeling or anger feeling or suspicious feelings,fear,143,26
i feel so bitchy and mean and terrible,anger,38,8
i feel envious that they can keep their posts regular and interesting and wish that i could feel this way to,anger,108,21
i feel like him try to stay as faithful as possible to what he perceives as the real events that happened in that mountain,joy,122,24
i feel assaulted the new kid whined,fear,35,7
ive had a long road of that initially feeling like i was being rude for turning down food that was made brought for me and sometimes eating stuff because it was gluten free and looked delicious even if it maybe wasnt what i felt good about eating some really mediocre wedding cake for example,anger,292,54
i wanted to make sure i didnt feel rushed getting to century college on friday afternoon,anger,88,16
id kick myself into gear but i just feel irritable with no motivation what so ever,anger,82,16
i feel so much more productive at college and so to keep that productivity in full gear ill have to chalk up some ideas for art projects this summer train an army of attack pigeons and take over a tiny and uninhabited island,joy,224,43
i have a feeling that your father already convinced him of that,joy,63,12
i feel im not bothered by that,anger,30,7
i p i could sit here and beat myself up over it all but im feeling far to rebellious for that today basically im feeling angry at the world and at myself all at the same time,anger,174,37
im totally feeling bitchy and resentful about it,anger,48,8
i drove to class i was feeling a little apprehensive but still no sweat,fear,71,14
i feel so wronged but what can i do,anger,35,9
i feel so weird that it feels like i wanna curse everything and bang my head onto the wall so that my world will be back to its focus,fear,133,29
i feel suspicious of wrinkle prevention beauty products for some reason,fear,71,11
i feel you see frantic and thus i am afraid,fear,43,10
i am feeling so grumpy today,anger,28,6
i feel that i have gotten to know the students pretty well and i talk to the parents if they drop their students off for the day,joy,128,27
i cant help but feel suspicious of everything,fear,45,8
i say we because it makes all the difference as a parent when you have an open and easy to talk to teacher who you really feel is the perfect fit for your child,joy,160,34
i feel a little bit frightened of islam,fear,39,8
im with her i feel terrific,joy,27,6
i feel like this insecurity is a good thing when i first started writing i pictured it all,joy,90,18
i even had a deep feeling for alaska and the cold and snowy and yet big open land with the pine trees and mountains but im destined to live in southern california,anger,162,32
i didn t feel like she was shy so much as taking it all in as her mother has described her,fear,90,21
i feel like any time anyone gets into the ring with him they are so intimidated by his arms and legs they dont even really try,fear,126,26
im feeling cranky cantankerous and resentful like a house slave basically almost all the mothers i know rely heavily on either alcohol marijuana or separation divorce to get some space and sanity for themselves away from their maternal responsibilities,anger,252,39
i was going crazy thank god i have a craving for fruits and chocolate it made me go out in the cold with a gross wind blowing in my neck feeling mad and angry and crappy,anger,169,36
im not convinced that it all makes since because the talking never feels sincere in its execution and maybe the themes in life seem to large to ever fathom but what s the point when it already feels like an emotionless pit of self craving attention,joy,248,46
i had begun to feel apprehensive when thick black rain clouds stormed into the sky above town,fear,93,17
i think that they pop up so automatically because seeing those pictures or people makes me feel insecure about myself,fear,117,20
i shut the door but i didn t feel triumphant,joy,44,10
i could even feel his cold breath on my neck whispered hertha as she ran her fingers across the side of neck,anger,108,22
i feel like life gave me a plenty of changes to shine and i pissed all over each and every one of them,anger,102,23
i was feeling grumpy not women problems grumpy but five year old i want to get my way kind of grumpy you don t think there s a difference,anger,137,29
i feel like im back in my element and very pleased to be surrounded by adorable tiny garments,joy,93,18
i know you feel tortured reading this,anger,37,7
i have a feeling hell be a casual favorite if blue or red are heavy colors at your casual tables otherwise i could see it in tournament decks while red is popular and possibly when if blue steps in its place one zendikar block rotates out,joy,238,46
i think this is a valid complaint for those who arent willing to deal with it this aspect i imagine will be rather subjective but it makes sure that the cover based moments still feel dangerous despite being in cover,anger,216,40
i feel like it must be a popular choice to have alterations done elsewhere,joy,74,14
i feel bothered,anger,15,3
i have noticed that if i go with out i start to feel irritated at him or easily annoyed by the things he does i feel this tiny ache inside of me almost unnoticeable the first few days as if a tiny hair had burrowed its way into my foot,anger,235,50
i said without emotion while feeling a freaked out fearful anxiety welling up in my chest,fear,89,16
i understand that any of my extremely positive attributes and there are some are overshadowed by my weakness and subconsciously some people are wired up to feel superior to others and thereby treat them differently,joy,214,35
i find it very hard to feel relaxed for more than hours,joy,55,12
i am just feeling grumpy and sore,anger,33,7
i just make assumptions based on what i see think feel i ve wondered this before with strange things,fear,100,19
i feel your motivation will be satisfied when you read this write up also who understands,joy,89,16
i walk in the door to my house i feel happy,joy,43,11
i feel more terrified than the customers will be in my maze,fear,59,12
i found these emails from scott dale and just reading them frusterated me so much that i feel the need to post them and show the world what a neurotic freak he was is,fear,166,34
i have been neglecting the feeling of people around me i was stubborn,anger,69,13
i have been sneakily listen to x mas music since the beginning of october but now i feel as if it is a little more socially acceptable to prance around while eartha kitt s version of santa baby blares from my ipod,joy,213,42
i didn t feel as terrified or as nervous as i normally would in that type of situation,fear,86,18
i typically respond when i feel offended,anger,40,7
i am wearing and feeling confident about myself,joy,47,8
i feel like i am as fearful now as i was when i first threw my leg over the top tube after my surgery,fear,101,24
i feel unprotected if i do though,fear,33,7
im feeling artistic today,joy,25,4
i confess to feeling a bit nervous now though there are some very talented people in the group,fear,94,18
i managed to eat more than i usually can on race morning mostly because jon was there and i didnt feel quite as nervous,fear,119,24
i had never read the posts i never would have spent the emotional and mental energy to argue with them in my head or feel irritated by them,anger,139,28
i feel pressured at times to succumb to fear and insecurities but thankfully i am still able to hold it on my own,fear,113,23
i feel my strengths are that i m very determined motivated in the workout room,joy,78,15
im feeling doubtful about my writing dreams to know shes behind me,fear,66,12
i feel so enraged that i want to punch him but i don t because he s only years old,anger,82,20
i get into what it actually does i feel like everyone should buy it just because it smells amazing,joy,98,19
i think the sooner we do the better well all feel greg im already in a distressed mood mom,fear,90,19
im so excited but feeling kind of shy about it smile,fear,52,11
i wear it i feel anxious visable spotlighted different unfashionable stupid embarrassed ashamed and paranoid,fear,108,15
i feel like im back to the arms of a beloved last seen a long time ago,joy,70,17
i feel satisfied and happy with my choices today,joy,48,9
i walked away feeling inspired and excited about realistic things i could do to increase my blog s chances for being found,joy,122,22
i feeling confused with my life and want to know why my life,fear,60,13
i looked around and once again was disappointed that so little had shown up this evening but apparently this was my day to feel selfish,anger,135,25
i was feeling and i said impatient,anger,34,7
i feel very reluctant to blog during my free period even when my hp is plugged to my laptop for charging making it easy to upload photos online,fear,143,28
i always notice even though she is fabulous at hiding it according to the rest of the world and feel it keenly and am greatly distressed,fear,136,26
i got a stitch in my side during the first mile couldnt feel my feet it was so cold etc etc,anger,91,21
i feel uncomfortable when i need to sit through a bad presentations,fear,67,12
i feel there are other options that not as violent probably more costly yet equally futile so whats the problem with keeping our men and women out of harms way,anger,159,30
ive collected as i feel its vital to create something precious from those items as a tribute to the earth and its power generosity,joy,130,24
i feel as though i fucked up so majorly this summer that im cast off into an alternate universe that i went the wrong way on a timeline and im stuck in a world that the same as the one i knew in all but one way,anger,210,47
i friends helping them to dress up and practise their thai introduction session while i sat there feeling helpless,fear,114,19
i feel helpless because i cannot stop it,fear,40,8
im feeling disgusted already but seriously though i dont really like to have my pictures taken cause ive always referred to myself as ugly,anger,138,24
i do feel very angered though,anger,29,6
i am feeling very virtuous today,joy,32,6
i just feel so good inside when i see people walking away with their own handmade pieces of,joy,91,18
i went to see my pcm on post for a follow up appointment and i left feeling hopeful and optimistic,joy,98,20
i wish that the girl he asked to prom had accepted his invitation that way i couldve been heartbroken and done with my feeling for him but now im just so indecisive,fear,164,32
im still feeling all wimpy it may be another skip around,fear,56,11
i didnt feel safe in my room because the argument was going on in my room and things were getting rough,joy,103,21
im not feeling pissed off about picking up those toys,anger,53,10
im feeling so goddamn pissed and just,anger,37,7
i hopped on the scale this morning feeling none too optimistic,joy,62,11
i appreciate the award i feel there are so many wonderful blogs out there that we are all winners,joy,97,19
i want to not feel shy with them i want to have fun with them,fear,61,15
i should have left this movie feeling frightened or at the very least convinced that this number held some kind of mystical power or was the key to some government conspiracy but no,fear,181,33
i always feel i always understand that the people who are being the most hateful and harmful towards me are hurting themselves and taught wrongly and i hurt for them because i want to go back and undo the pain and childhood bigotry that binds their lives into this path,anger,269,50
i am feeling extremely pleased with myself and i decide to give the guy another rupees,joy,86,16
i feel tortured every moment and theres nowhere i can go to get away from it or to get back to what i was used to,anger,113,26
im feeling brave this would be nice with black tips,joy,51,10
i know who all think this way so i ve always feel skeptical about painting my nails red since i also have light skin so the red is really going to stand out is there a cute way for a year old to wear red nails without looking like she s trying too hard or looking like a hooker,fear,277,59
in ward a was an epileptic patient who was burnt the whole body and was stinking very much such that the whole ward was affected few people could come near him,anger,159,31
i have grown accustomed to the creative freedom of living by myself i can dance around my house and write songs and play guitar without feeling inhibited by the eyes and ears of others,fear,184,34
i is an extremely positive feeling a divine energy who alone can take our quaking boat to the shore,joy,99,19
i feel in the long run this hurts paulie as you could visibly see how distraught he was with the result and the perception of his performance,fear,141,27
i also wouldnt mind a canon d mark iii if anyone is feeling generous,joy,68,14
i wonder how genentech feel about a hostile takeover by its global partner,anger,74,13
i feel that when i run i that is me sarah the mind am supporting this body,joy,74,17
i feel truly impatient that this is taking so long,anger,50,10
i feel really greedy wanting all this stuff but my mom asked me to make a list so,anger,81,18
i feel popular but they dont want to be taught and they wont get married before the get baptized so they cant obviously,joy,119,23
i dont hate you i just honestly feel so bitter towards you atm,anger,62,13
i don t particularly have too much to say on it as it works well but doesn t particularly feel like it s something very clever or new,joy,133,28
i sometimes feel hated but i am not it is all in my head,anger,56,14
i was feeling pretty anxious and overwhelmed as a friend rightly noted probably because i was on a boat with my mom grandmother and great aunt and no where to flee except the damn cold baltic sea,fear,195,37
i feel like i need cute pictures to share,joy,41,9
i wake up feeling triumphant,joy,28,5
i find it hard to feel jolly when throngs of people around me are so lost in the fervor of getting stuff that they cant see their heart for the green in their wallet encouraged by the constant barrage and pressure from every angle to shop here and buy more,joy,256,50
i am left feeling very confused and blah,fear,40,8
i got a feeling by the look in her eyes that she was sincere,joy,60,14
i can think about is how lonely i feel im all grouchy and agitated and esily airritated,anger,87,17
ive decided to intentionally make it easier on myself even though it makes me feel wimpy admitting that is the reason but this girl does have to work a day job,fear,159,31
im watching a movie called sharknado i feel like my intelligence is being insulted,anger,82,14
i am feeling apprehensive about this move and worried i have blown all my money that was meant to pay my rego,fear,109,22
i still feel like i get walked all over but well i m trying,joy,59,14
i told her that we cannot continue this way and when she is starting to feel frustrated she has to let me know in a calm way,anger,124,27
i felt like the boys were disadvantaged missing out on all the exciting entertainments at home for children but now i feel like they have had a precious opportunity to get close and familiar with nature,joy,202,36
i was capable of doing the same as of late ive been feeling pretty bitter and depressed and not a lot of gratitude in general,anger,125,25
i can feel their joy and excitement for the opportunity to receive these vital ordinances,joy,89,15
i worry about all of the time ive been spending on the computer and about how i feel so distracted by the party,anger,111,23
i feel like i cant be brave,joy,27,7
i wish i could call off the wedding just so i can feel carefree again,joy,69,15
i didnt feel scared at all,fear,26,6
i feel really contented just listening to the song,joy,50,9
i dont know who i like i feel so bitchy and flirty,anger,50,12
ive had this urgent feeling to write to you and tell you how the files make me feel but have felt hesitant because of fear as to where it will lead me,fear,150,32
i started to develop feelings for you they scared me and i freaked out but you promised me that i was safe,fear,106,22
i guess avoiding the boundaries conversation with him has me feeling a little unsure about my confidence and strength,fear,117,19
im so damn tired and i feel a little grouchy,anger,44,10
i was feeling quite something im not sure,joy,41,8
i feel rude feel free to grab the seat next to me,anger,49,12
im contemplating and feeling skeptical,fear,38,5
i feel irritated useless and hopeless,anger,37,6
i don t feel bothered about it getting credit equals getting debt and i have no interest in doing that again,anger,108,21
i hurt your feelings or angered you with my last rant im sorry,anger,62,13
i was feeling angry at myself for feeling self conscious about my shorts or for wishing that i wasnt alone,anger,106,20
i feel petty things but not to the extent that humans seem to feel them wars have been started over stupid little things and try as i might i cannot understand how things such as loving two people or feeling jealous can lead to murder and unhappiness,anger,250,47
i was feeling pretty cranky this morning and stopping in here really made me feel a lot better,anger,94,18
i was just yesterday feeling uncomfortable with highschool sigh,fear,63,9
i feel better now on the menu tonight,joy,37,8
i feel so hesitant to say anything positive trying to hold my breath so to speak because none of this really matters until i know that shaun has passed the dlpt,fear,160,31
i feel stressed out i would watch movies alone or just walk on the streets alone,anger,80,16
i slough off the carapace of crud that has enveloped me for the past thirty odd hours i feel invigorated and finally ready to face the day,joy,138,27
i discovered that it gave me a great feeling of satisfaction to produce a blog post a delicious dish a few photos a written recipe that tangible job completed feeling that s rare in my life as a stay at home mom,joy,211,42
i feel a lot of pressure but i am determined to finish them so that i can visit my sister in may with a clear conscience,joy,120,26
i feel myself getting agitated over something insignificant or feeling bored i m going to remember this quote,anger,109,18
i feel bitchy i guess,anger,21,5
i much regret that i allowed johann to accompany me from khartoum i feel convinced he can never rally from his present descara,joy,126,23
i feel have been convinced by many factors in our culture of a kind of cooking mystique,joy,87,17
im feeling very angry kind of sad tired and bored today,anger,55,11
im feeling a much more festive with the tree in,joy,47,10
i feel like as a creative professional you need to have that unpressed creative outlet to get re inspired,joy,105,19
i feel very distressed because i m supportive of this campaign and with the senator jackson told cnn,fear,100,18
i feel like i am being obnoxious by posting every three seconds,anger,63,12
a girl entered in the division where i work and greeted everybody but not me,anger,76,15
i started to feel apprehensive about it,fear,39,7
i should not feel afraid we can stop shoulding all over ourselves,fear,65,12
im feeling bitter towards them god,anger,34,6
im being a teenager people and if you feel the need to make sarcastic bitchy comments you can kindly fuck off,anger,109,21
i hate seeing those red windows even more as what i feel inside resonates with the cold uncaring world i know exists behind them making me even more aware of this pain inside of me,anger,180,35
i can understand feeling uncertain about the abc link,fear,53,9
i came to china feeling a little frightened of everything around me,fear,67,12
i tired of hearing of these unique communications special feelings and how sincere you are,joy,90,15
i get the feeling that nellie is satisfied that the phone rang happy that leslie is out of the room now,joy,103,21
i do feel weird why seldom people eat at there,fear,46,10
i am not feeling fearful,fear,24,5
i slow a bit to stay with him partly because i am feeling like if i start to win he will just give up and partly because i am afraid that if i push it he will kill himself trying to stay with me,fear,194,44
i feel bitchy today its as if today i realized that i couldnt count on any of my friends anymore,anger,96,20
i feel that the very foundations of my faith have been shaken to the core,fear,73,15
i did feel that the ending was a bit rushed and i do wonder if i might have missed certain signs but its a small thing when the story happens to be addictive and you dont notice the time passing by,anger,197,41
i did not feel like i was on the edge and it got to a point where i wasn t bothered about who wins and to hell with it whether this fight will even end,anger,151,35
i feel crazily indecisive impulsive just in a,fear,45,8
i feel overwhelmed when i think of a country suffering,fear,54,10
i feel so heartless sometimes because i do not have the ability to mourn for the lost of someone relating to my past grandparents,anger,129,24
i feel really free i feel that i can grow wings amp fly,joy,55,13
i couldnt help feel infuriated when i had left the building,anger,59,11
i just feel kind of heartless now,anger,33,7
i feel stubborn and strong and ready to fight this disease,anger,58,11
i was also feeling really pleased that i decided well cajoled bullied and ordered to go out running this evening,joy,112,20
im not sure that feeling slightly wronged by the police the sheriff or the tsa is always a bad thing,anger,100,20
i am feeling especially lively,joy,30,5
i didn t need to mention our difference but i was feeling very vulnerable because of the differences and was having a bit of fear that in someway i am doing something wrong,fear,172,33
im already feeling less agitated,anger,32,5
i want to feel energetic again and when i do just that bit of exercise every day be it minutes i feel more awake energized and more focused,joy,139,28
i feel like a greedy person for liking two people,anger,49,10
i do feel offended and i think justly,anger,37,8
im thinking that feeling extremely cold yesterday was more down to me brewing something than the actual weather,anger,111,18
im most expressive when i feel distraught,fear,41,7
i have a feeling that the smell is not going to be pleasant,joy,59,13
i have control issues though they really only kick badly when i feel unprotected or dont trust my safety net,fear,108,20
i cant let all these feeling in one blink im not a heartless person like you i give you a lot of change i give you a lot of change to come and change your decisions i give you a lot of change to find me but you threw it like a crap,anger,231,53
i feel so despised and i feel this world is crumbling onto me again,anger,67,14
i feel bore and restless,fear,24,5
i don t feel frustrated anymore from the fierce us media campaign against egypt because the more they attack us the more we know that we are on the right track,anger,159,31
i need to manage my spending money more wisely but im feeling uncertain and stressed as of late,fear,95,18
as in sadness a,anger,15,4
i feel so uncomfortable about the word hero,fear,43,8
i feel far too distracted to actually write anything of substance,anger,65,11
i feel wonderful im tipping over backwards im so ambitious im looking back im running a race and youre the books i read so feel my fingers as they touch you arms im spinning around and i feel alright the book i read was in your eyes,joy,232,47
i heard it somehow it brings me good feeling strange,fear,52,10
i started explaining what my biggest problems were bottling up my feelings and then dumping all those problems onto one person and my selfish search for happiness when i had felt everyone around me had found their happiness,anger,223,38
ive had a somewhat difficult time trying to find something to feel thankful for,joy,79,14
i feel like people like this arent getting caught therefore the government plays it up when they catch criminals of petty crimes to make themselves look better,anger,159,27
i call someone i feel like i need to at least talk a few minutes to not be rude,anger,79,19
i think i m also feeling restless,fear,33,7
i asked them to join me in creating a world where all year old girls could grow up feeling hopeful and powerful,joy,111,22
i feel strange being thankful when such awful things on the other sides of the oceans that surround that country happen on a daily basis,fear,136,25
i knew i needed to get over there but had been dragging my feet a combo of feeling intimidated by the language barrier and the kids nap schedules,fear,145,28
im told by horsey people that they are a rare find so i feel quite lucky,joy,72,16
i feel that as we study him we find that he was indeed a perfect example of what any christian and especially a latter day saint should be,joy,138,28
i was feeling rebellious so i ate it,anger,36,8
i feel uncertain about his motives and feel an inbalance in our committment to the process of counselling for reconciliation,fear,124,20
i was still feeling weird about the day before,fear,46,9
i feel like now i have the opportunity to become smart to embrace knowledge and really learn about everything i have daydreamed of learning,joy,139,24
i feel useful again and serves as a reminder that ive come a long way since the first days of vertigo,joy,101,21
i could feel the blood in my veins go cold,anger,42,10
i started to feel super emotional all the time which was so strange,joy,67,13
im feeling pretty rebellious right now because im writing this is my engineering class,anger,86,14
i used to feel as if i would be hated and whatever so i kept quiet about god,anger,76,18
i feel my life being threatened by illness i lose my mind,fear,57,12
i was really hoping that theyd get far enough ahead of us that we could feel like we were doing our own navigating so i was delighted when after punching the second control they headed off onto a trail through the woods,joy,219,42
i feel so frustrated but i cant tell them i am,anger,46,11
i wanted to say something to her but it was just a bad vibe and i was feeling hostile didnt think it was a good night to do so,anger,126,29
i feel the eyes of many turn away disgusted by the self indulgence the audacity of a british woman to admit this point of failure,anger,129,25
i feel incredibly charmed that i have these people in my life and that i am at such an exciting amazing chapter of things,joy,121,24
i feel jealous of everyone who has the chance to meet you everyday,anger,66,13
i brought up privately a couple weeks ago that i felt targeted after feeling frustrated and belittled,anger,101,17
i feel honoured that my clients walk through my doors sometimes for the very first time and trust me with their brand new one week old bundles of joy,joy,149,29
im sure its a great film but i guess i wasnt feeling too appreciative and just had a long day,joy,93,20
i feel suspicious of innanimate objects and as though my house is actually the set of a play or a movie or some kind of model of itself and how did i come to be here and why is that carpet looking up at me like that,fear,215,47
i feel hesitant to be putting the words on this page feeling like every time i hit a key i am tempting fate to take this away from me,fear,133,29
i watched the snow fall and accumulate on the conifer trees while i was shoveling in my shirt sleeves and feeling vigorous,joy,122,22
i feel that it could have been a more successful outcome had i explored new styles but kept it close to me and remained myself,joy,126,25
i feel glad i can still teach him at home myself,joy,48,11
im feeling overwhelmed i can just give people the middle finger or tell them to f off,fear,85,17
ive had a feeling of being satisfied with the performance of my car,joy,67,13
i tend to lose feel for the water pretty quickly when im not in the water every other day and i felt this during the race,joy,121,26
my flatmate was asking questions about my relationship with my boyfriend,anger,72,11
i feel honoured that she has chosen to share this with me,joy,57,12
i feel tat all of us in this world are clever just depending on how u are born if u are born to be errrr not good but it will still would have some good things that u have it just that u dun realise it lol i noe its quite lame hope no one have read it img src http shared,joy,271,62
i do have to wonder when you re cast as a caveman and you re told you re perfect for the part do you feel insulted or complimented,anger,130,28
i feel highs so ecstatic that just being normal feels like a thousand mile drop and being unhappy is excruciating,joy,113,20
i am feeling so festive right now and not just because this was the lovely wintry scene when i walked the dog the other day a href http,joy,135,28
ive worked plenty of them and have yet to find one that leaves me feeling satisfied with the way ive spent another day that i will never get back,joy,145,29
i don t know why i am feeling so sarcastic tonight but christian seems to enjoy my banter and every time seth apologizes for my behavior christian tells him it s quite alright and locks eyes with me,anger,198,38
i find myself feeling agitated because of how what the kids are playing i ask myself did i play this way when i was little,fear,122,25
im feeling so excited and eager,joy,31,6
i don t have any issues with the obvious i went chinese with them yesterday and i wasn t feeling hostile towards any of them,anger,124,25
i find that i never stop feeling excited for our company s future,joy,65,13
i sat with dave atell at first trying not to feel rude while the guys were eating,anger,81,17
im good at hiding my true feelings or blurting them out in sarcastic tones,anger,74,14
ive been feeling really energetic at night and honestly i needed this,joy,69,12
i can feel the beginnings of a cold so i figured i deserve a heinously hot bath,anger,79,17
im inclined to believe that im simply too lazy to feel particularly greedy,anger,74,13
i feel almost angry that i have been fed like a lab rat for so many years,anger,73,17
i couldnt feel thing however that kind of bothered me because i didnt feel it pop,anger,81,16
i feel insecure all the time,fear,28,6
i said feeling strange uttering those words but space flight was still a pretty novel way of traveling in my time,fear,113,21
i actually feel insulted when the plot goes off on a tangent like that,anger,70,14
